std_id,min_ta,dtr,pa,rhm
경기,68.7,1.9,23.2,6.2
경기,68.7,1.9,23.2,6.2
강원,57.7,6,18,18.4
강원,57.7,6,18,18.4
인천,61.2,1.8,26.7,10.3
인천,61.2,1.8,26.7,10.3
충북,61.6,1.4,23.6,13.4
충북,61.6,1.4,23.6,13.4
서울,62.7,1.2,27.6,8.5
서울,62.7,1.2,27.6,8.5
광주,63.9,5.6,24.4,6.1
광주,63.9,5.6,24.4,6.1
경북,66.5,2.8,19.4,11.3
경북,66.5,2.8,19.4,11.3
대구,66.5,2.8,19.4,11.3
대구,66.5,2.8,19.4,11.3
충남,62.4,2.7,23.5,11.4
충남,62.4,2.7,23.5,11.4
세종,62.4,2.7,23.5,11.4
세종,62.4,2.7,23.5,11.4
전남,57.7,9.5,28.9,3.9
전남,57.7,9.5,28.9,3.9
경남,66.4,6.3,21.4,5.9
경남,66.4,6.3,21.4,5.9
전북,56.1,1.2,23.6,19.1
전북,56.1,1.2,23.6,19.1
대전,62.4,2.7,23.5,11.4
대전,62.4,2.7,23.5,11.4
울산,69.6,4.8,19.7,5.9
울산,69.6,4.8,19.7,5.9
부산,61.1,10.2,28.6,0.1
부산,61.1,10.2,28.6,0.1
제주,74.1,5.9,13.2,6.8
제주,74.1,5.9,13.2,6.8
경기,68.7,1.9,23.2,6.2
경기,68.7,1.9,23.2,6.2
강원,57.7,6,18,18.4
강원,57.7,6,18,18.4
인천,61.2,1.8,26.7,10.3
인천,61.2,1.8,26.7,10.3
충북,61.6,1.4,23.6,13.4
충북,61.6,1.4,23.6,13.4
서울,62.7,1.2,27.6,8.5
서울,62.7,1.2,27.6,8.5
광주,63.9,5.6,24.4,6.1
광주,63.9,5.6,24.4,6.1
경북,66.5,2.8,19.4,11.3
경북,66.5,2.8,19.4,11.3
대구,66.5,2.8,19.4,11.3
대구,66.5,2.8,19.4,11.3
충남,62.4,2.7,23.5,11.4
충남,62.4,2.7,23.5,11.4
세종,62.4,2.7,23.5,11.4
